Player,Team,Affiliation,Year,Round Number,Round Pick,Overall Pick,Team Abbreviation
Mikal Bridges,Philadelphia 76Ers,Villanova,2018,1,10,10,PHI
Shai Gilgeous-Alexander,Charlotte Hornets,Kentucky,2018,1,11,11,CHA
Miles Bridges,La Clippers,Michigan State,2018,1,12,12,LAC
Jerome Robinson,La Clippers,Boston College,2018,1,13,13,LAC
Michael Porter Jr.,Denver Nuggets,Missouri,2018,1,14,14,DEN
Troy Brown Jr.,Washington Wizards,Oregon,2018,1,15,15,WAS
Zhaire Smith,Phoenix Suns,Texas Tech,2018,1,16,16,PHX
Donte DiVincenzo,Milwaukee Bucks,Villanova,2018,1,17,17,MIL
Lonnie Walker IV,San Antonio Spurs,Miami (FL),2018,1,18,18,SAS
Kevin Huerter,Atlanta Hawks,Maryland,2018,1,19,19,ATL
Josh Okogie,Minnesota Timberwolves,Georgia Tech,2018,1,20,20,MIN
Grayson Allen,Utah Jazz,Duke,2018,1,21,21,UTA
Chandler Hutchison,Chicago Bulls,Boise State,2018,1,22,22,CHI
Aaron Holiday,Indiana Pacers,California-Los Angeles,2018,1,23,23,IND
Anfernee Simons,Portland Trail Blazers,IMG Academy,2018,1,24,24,POR
Moritz Wagner,Los Angeles Lakers,Michigan,2018,1,25,25,LAL
Landry Shamet,Philadelphia 76Ers,Wichita State,2018,1,26,26,PHI
Robert Williams III,Boston Celtics,Texas A&M,2018,1,27,27,BOS
Jacob Evans,Golden State Warriors,Cincinnati,2018,1,28,28,GSW
Dzanan Musa,Brooklyn Nets,KK Cedevita (Croatia),2018,1,29,29,BKN
Omari Spellman,Atlanta Hawks,Villanova,2018,1,30,30,ATL
Elie Okobo,Phoenix Suns,Elan Bearnais Pau-Orthez (France),2018,2,1,31,PHX
Jevon Carter,Memphis Grizzlies,West Virginia,2018,2,2,32,MEM
Jalen Brunson,Dallas Mavericks,Villanova,2018,2,3,33,DAL
Devonte' Graham,Atlanta Hawks,Kansas,2018,2,4,34,ATL
Melvin Frazier Jr.,Orlando Magic,Tulane,2018,2,5,35,ORL
Mitchell Robinson,New York Knicks,,2018,2,6,36,NYK
Gary Trent Jr.,Sacramento Kings,Duke,2018,2,7,37,SAC
Khyri Thomas,Philadelphia 76Ers,Creighton,2018,2,8,38,PHI
Isaac Bonga,Philadelphia 76Ers,Fraport Skyliners (Germany),2018,2,9,39,PHI
Rodions Kurucs,Brooklyn Nets,FC Barcelona Basquet (Spain),2018,2,10,40,BKN
Jarred Vanderbilt,Orlando Magic,Kentucky,2018,2,11,41,ORL
Bruce Brown,Detroit Pistons,Miami (FL),2018,2,12,42,DET
Justin Jackson,Denver Nuggets,Maryland,2018,2,13,43,DEN
Issuf Sanon,Washington Wizards,KK Olimpija (Slovenia),2018,2,14,44,WAS
Hamidou Diallo,Brooklyn Nets,Kentucky,2018,2,15,45,BKN
De'Anthony Melton,Houston Rockets,Southern California,2018,2,16,46,HOU
Svi Mykhailiuk,Los Angeles Lakers,Kansas,2018,2,17,47,LAL
Keita Bates-Diop,Minnesota Timberwolves,Ohio State,2018,2,18,48,MIN
Chimezie Metu,Milwaukee Bucks,Southern California,2018,2,19,49,MIL
Alize Johnson,Indiana Pacers,Missouri State,2018,2,20,50,IND
Tony Carr,New Orleans Pelicans,Penn State,2018,2,21,51,NOP
Vincent Edwards,Utah Jazz,Purdue,2018,2,22,52,UTA
Devon Hall,Oklahoma City Thunder,Virginia,2018,2,23,53,OKC
Shake Milton,Dallas Mavericks,Southern Methodist,2018,2,24,54,DAL
Arnoldas Kulboka,Charlotte Hornets,Brose Bamberg (Germany),2018,2,25,55,CHA
Ray Spalding,Philadelphia 76Ers,Louisville,2018,2,26,56,PHI
Kevin Hervey,Oklahoma City Thunder,Texas-Arlington,2018,2,27,57,OKC
Thomas Welsh,Denver Nuggets,California-Los Angeles,2018,2,28,58,DEN
George King,Phoenix Suns,Colorado,2018,2,29,59,PHX
Kostas Antetokounmpo,Philadelphia 76Ers,Dayton,2018,2,30,60,PHI
Markelle Fultz,Philadelphia 76Ers,Washington,2017,1,1,1,PHI
Lonzo Ball,Los Angeles Lakers,California-Los Angeles,2017,1,2,2,LAL
Jayson Tatum,Boston Celtics,Duke,2017,1,3,3,BOS
Josh Jackson,Phoenix Suns,Kansas,2017,1,4,4,PHX
De'Aaron Fox,Sacramento Kings,Kentucky,2017,1,5,5,SAC
Jonathan Isaac,Orlando Magic,Florida State,2017,1,6,6,ORL
Lauri Markkanen,Minnesota Timberwolves,Arizona,2017,1,7,7,MIN
Frank Ntilikina,New York Knicks,SIG Strasbourg (France),2017,1,8,8,NYK
Dennis Smith Jr.,Dallas Mavericks,North Carolina State,2017,1,9,9,DAL
Zach Collins,Sacramento Kings,Gonzaga,2017,1,10,10,SAC
Malik Monk,Charlotte Hornets,Kentucky,2017,1,11,11,CHA
Luke Kennard,Detroit Pistons,Duke,2017,1,12,12,DET
Donovan Mitchell,Denver Nuggets,Louisville,2017,1,13,13,DEN
Bam Adebayo,Miami Heat,Kentucky,2017,1,14,14,MIA
Justin Jackson,Portland Trail Blazers,North Carolina,2017,1,15,15,POR
Justin Patton,Chicago Bulls,Creighton,2017,1,16,16,CHI
D.J. Wilson,Milwaukee Bucks,Michigan,2017,1,17,17,MIL
T.J. Leaf,Indiana Pacers,California-Los Angeles,2017,1,18,18,IND
John Collins,Atlanta Hawks,Wake Forest,2017,1,19,19,ATL
Harry Giles III,Portland Trail Blazers,Duke,2017,1,20,20,POR
Terrance Ferguson,Oklahoma City Thunder,Adelaide 36ers (Australia),2017,1,21,21,OKC
Jarrett Allen,Brooklyn Nets,Texas,2017,1,22,22,BKN
OG Anunoby,Toronto Raptors,Indiana,2017,1,23,23,TOR
Tyler Lydon,Utah Jazz,Syracuse,2017,1,24,24,UTA
Anžejs Pasečņiks,Orlando Magic,CB Gran Canaria (Spain),2017,1,25,25,ORL
Caleb Swanigan,Portland Trail Blazers,Purdue,2017,1,26,26,POR
Kyle Kuzma,Brooklyn Nets,Utah,2017,1,27,27,BKN
Tony Bradley,Los Angeles Lakers,North Carolina,2017,1,28,28,LAL
Derrick White,San Antonio Spurs,Colorado,2017,1,29,29,SAS
Josh Hart,Utah Jazz,Villanova,2017,1,30,30,UTA
Frank Jackson,Charlotte Hornets,Duke,2017,2,1,31,CHA
Davon Reed,Phoenix Suns,Miami (FL),2017,2,2,32,PHX
Wes Iwundu,Orlando Magic,Kansas State,2017,2,3,33,ORL
Frank Mason III,Sacramento Kings,Kansas,2017,2,4,34,SAC
Ivan Rabb,Orlando Magic,California,2017,2,5,35,ORL
Jonah Bolden,Philadelphia 76Ers,Red Star Belgrade (Serbia),2017,2,6,36,PHI
Semi Ojeleye,Boston Celtics,Southern Methodist,2017,2,7,37,BOS
Jordan Bell,Chicago Bulls,Oregon,2017,2,8,38,CHI
Jawun Evans,Philadelphia 76Ers,Oklahoma State,2017,2,9,39,PHI
Dwayne Bacon,New Orleans Pelicans,Florida State,2017,2,10,40,NOP
Tyler Dorsey,Atlanta Hawks,Oregon,2017,2,11,41,ATL
Thomas Bryant,Utah Jazz,Indiana,2017,2,12,42,UTA
Isaiah Hartenstein,Houston Rockets,BC Zalgiris (Lithuania),2017,2,13,43,HOU
Damyean Dotson,New York Knicks,Houston,2017,2,14,44,NYK
Dillon Brooks,Houston Rockets,Oregon,2017,2,15,45,HOU
Sterling Brown,Philadelphia 76Ers,Southern Methodist,2017,2,16,46,PHI
Ike Anigbogu,Indiana Pacers,California-Los Angeles,2017,2,17,47,IND
Sindarius Thornwell,Milwaukee Bucks,South Carolina,2017,2,18,48,MIL
Vlatko Čančar,Denver Nuggets,KK Mega Leks (Serbia),2017,2,19,49,DEN
Mathias Lessort,Philadelphia 76Ers,Nanterre 92 (France),2017,2,20,50,PHI
Monté Morris,Denver Nuggets,Iowa State,2017,2,21,51,DEN
Edmond Sumner,New Orleans Pelicans,Xavier,2017,2,22,52,NOP
Kadeem Allen,Boston Celtics,Arizona,2017,2,23,53,BOS
Alec Peters,Phoenix Suns,Valparaiso,2017,2,24,54,PHX
Nigel Williams-Goss,Utah Jazz,Gonzaga,2017,2,25,55,UTA
Jabari Bird,Boston Celtics,California,2017,2,26,56,BOS
Sasha Vezenkov,Brooklyn Nets,FC Barcelona Basquet (Spain),2017,2,27,57,BKN
Ognjen Jaramaz,New York Knicks,KK Mega Leks (Serbia),2017,2,28,58,NYK
Jaron Blossomgame,San Antonio Spurs,Clemson,2017,2,29,59,SAS
Alpha Kaba,Atlanta Hawks,KK Mega Leks (Serbia),2017,2,30,60,ATL
Ben Simmons,Philadelphia 76Ers,Louisiana State,2016,1,1,1,PHI
Brandon Ingram,Los Angeles Lakers,Duke,2016,1,2,2,LAL
Jaylen Brown,Boston Celtics,California,2016,1,3,3,BOS
Dragan Bender,Phoenix Suns,Maccabi Tel Aviv B.C. (Israel),2016,1,4,4,PHX
Kris Dunn,Minnesota Timberwolves,Providence,2016,1,5,5,MIN
Buddy Hield,New Orleans Pelicans,Oklahoma,2016,1,6,6,NOP
Jamal Murray,Denver Nuggets,Kentucky,2016,1,7,7,DEN
Marquese Chriss,Phoenix Suns,Washington,2016,1,8,8,PHX
Jakob Poeltl,Toronto Raptors,Utah,2016,1,9,9,TOR
Thon Maker,Milwaukee Bucks,,2016,1,10,10,MIL
Domantas Sabonis,Oklahoma City Thunder,Gonzaga,2016,1,11,11,OKC
Taurean Prince,Utah Jazz,Baylor,2016,1,12,12,UTA
Georgios Papagiannis,Sacramento Kings,Panathinaikos B.C. (Greece),2016,1,13,13,SAC
Denzel Valentine,Chicago Bulls,Michigan State,2016,1,14,14,CHI
Juancho Hernangomez,Denver Nuggets,Movistar Estudiantes,2016,1,15,15,DEN
Guerschon Yabusele,Boston Celtics,SPO Rouen Basket,2016,1,16,16,BOS
Wade Baldwin IV,Memphis Grizzlies,Vanderbilt,2016,1,17,17,MEM
Henry Ellenson,Detroit Pistons,Marquette,2016,1,18,18,DET
Malik Beasley,Denver Nuggets,Florida State,2016,1,19,19,DEN
Caris LeVert,Indiana Pacers,Michigan,2016,1,20,20,IND
DeAndre' Bembry,Atlanta Hawks,Saint Joseph's,2016,1,21,21,ATL
Malachi Richardson,Charlotte Hornets,Syracuse,2016,1,22,22,CHA
Ante Zizic,Boston Celtics,KK Cibona (Croatia),2016,1,23,23,BOS
Timothe Luwawu-Cabarrot,Philadelphia 76Ers,KK Mega Vizura,2016,1,24,24,PHI
Brice Johnson,La Clippers,North Carolina,2016,1,25,25,LAC
Furkan Korkmaz,Philadelphia 76Ers,Anadolu Efes S.K. (Turkey),2016,1,26,26,PHI
Pascal Siakam,Toronto Raptors,New Mexico State,2016,1,27,27,TOR
Skal Labissiere,Sacramento Kings,Kentucky,2016,1,28,28,SAC
Dejounte Murray,San Antonio Spurs,Washington,2016,1,29,29,SAS
Damian Jones,Golden State Warriors,Vanderbilt,2016,1,30,30,GSW
Deyonta Davis,Boston Celtics,Michigan State,2016,2,1,31,BOS
Ivica Zubac,Los Angeles Lakers,KK Mega Vizura,2016,2,2,32,LAL
Cheick Diallo,La Clippers,Kansas,2016,2,3,33,LAC
Tyler Ulis,Phoenix Suns,Kentucky,2016,2,4,34,PHX
Rade Zagorac,Boston Celtics,KK Mega Vizura,2016,2,5,35,BOS
Malcolm Brogdon,Milwaukee Bucks,Virginia,2016,2,6,36,MIL
Chinanu Onuaku,Houston Rockets,Louisville,2016,2,7,37,HOU
Patrick McCaw,Golden State Warriors,Nevada-Las Vegas,2016,2,8,38,GSW
David Michineau,New Orleans Pelicans,Elan Chalon (France),2016,2,9,39,NOP
Diamond Stone,New Orleans Pelicans,Maryland,2016,2,10,40,NOP
Stephen Zimmerman,Orlando Magic,Nevada-Las Vegas,2016,2,11,41,ORL
Isaiah Whitehead,Brooklyn Nets,Seton Hall,2016,2,12,42,BKN
Zhou Qi,Houston Rockets,Xinjiang Guanghui,2016,2,13,43,HOU
Isaia Cordinier,Atlanta Hawks,Denain ASC Voltaire,2016,2,14,44,ATL
Demetrius Jackson,Boston Celtics,Notre Dame,2016,2,15,45,BOS
AJ Hammons,Dallas Mavericks,Purdue,2016,2,16,46,DAL
Jake Layman,Orlando Magic,Maryland,2016,2,17,47,ORL
Paul Zipser,Chicago Bulls,FC Bayern Muenchen,2016,2,18,48,CHI
Michael Gbinije,Detroit Pistons,Syracuse,2016,2,19,49,DET
Georges Niang,Indiana Pacers,Iowa State,2016,2,20,50,IND
Ben Bentil,Boston Celtics,Providence,2016,2,21,51,BOS
Joel Bolomboy,Utah Jazz,Weber State,2016,2,22,52,UTA
Petr Cornelie,Denver Nuggets,Le Mans Sarthe Basket (France),2016,2,23,53,DEN
Kay Felder,Atlanta Hawks,Oakland,2016,2,24,54,ATL
Marcus Paige,Utah Jazz,North Carolina,2016,2,25,55,UTA
Daniel Hamilton,Denver Nuggets,Connecticut,2016,2,26,56,DEN
Wang Zhelin,Memphis Grizzlies,Fujian,2016,2,27,57,MEM
Abdel Nader,Boston Celtics,Iowa State,2016,2,28,58,BOS
Isaiah Cousins,Sacramento Kings,Oklahoma,2016,2,29,59,SAC
Tyrone Wallace,Utah Jazz,California,2016,2,30,60,UTA
Karl-Anthony Towns,Minnesota Timberwolves,Kentucky,2015,1,1,1,MIN
D'Angelo Russell,Los Angeles Lakers,Ohio State,2015,1,2,2,LAL
Jahlil Okafor,Philadelphia 76Ers,Duke,2015,1,3,3,PHI
Kristaps Porziņģis,New York Knicks,CB Sevilla (Spain),2015,1,4,4,NYK
Mario Hezonja,Orlando Magic,FC Barcelona Basquet (Spain),2015,1,5,5,ORL
Willie Cauley-Stein,Sacramento Kings,Kentucky,2015,1,6,6,SAC
Emmanuel Mudiay,Denver Nuggets,Guangdong Southern Tigers (China),2015,1,7,7,DEN
Stanley Johnson,Detroit Pistons,Arizona,2015,1,8,8,DET
Frank Kaminsky,Charlotte Hornets,Wisconsin,2015,1,9,9,CHA
Justise Winslow,Miami Heat,Duke,2015,1,10,10,MIA
Myles Turner,Indiana Pacers,Texas,2015,1,11,11,IND
Trey Lyles,Utah Jazz,Kentucky,2015,1,12,12,UTA
Devin Booker,Phoenix Suns,Kentucky,2015,1,13,13,PHX
Cameron Payne,Oklahoma City Thunder,Murray State,2015,1,14,14,OKC
Kelly Oubre Jr.,Atlanta Hawks,Kansas,2015,1,15,15,ATL
Terry Rozier,Boston Celtics,Louisville,2015,1,16,16,BOS
Rashad Vaughn,Milwaukee Bucks,Nevada-Las Vegas,2015,1,17,17,MIL
Sam Dekker,Houston Rockets,Wisconsin,2015,1,18,18,HOU
Jerian Grant,Washington Wizards,Notre Dame,2015,1,19,19,WAS
Delon Wright,Toronto Raptors,Utah,2015,1,20,20,TOR
Justin Anderson,Dallas Mavericks,Virginia,2015,1,21,21,DAL
Bobby Portis,Chicago Bulls,Arkansas,2015,1,22,22,CHI
Rondae Hollis-Jefferson,Portland Trail Blazers,Arizona,2015,1,23,23,POR
Tyus Jones,Cleveland Cavaliers,Duke,2015,1,24,24,CLE
Jarell Martin,Memphis Grizzlies,Louisiana State,2015,1,25,25,MEM
Nikola Milutinov,San Antonio Spurs,KK Partizan (Serbia),2015,1,26,26,SAS
Larry Nance Jr.,Los Angeles Lakers,Wyoming,2015,1,27,27,LAL
RJ Hunter,Boston Celtics,Georgia State,2015,1,28,28,BOS
Chris McCullough,Brooklyn Nets,Syracuse,2015,1,29,29,BKN
Kevon Looney,Golden State Warriors,California-Los Angeles,2015,1,30,30,GSW
Cedi Osman,Minnesota Timberwolves,Anadolu Efes S.K. (Turkey),2015,2,1,31,MIN
Montrezl Harrell,Houston Rockets,Louisville,2015,2,2,32,HOU
Jordan Mickey,Boston Celtics,Louisiana State,2015,2,3,33,BOS
Anthony Brown,Los Angeles Lakers,Stanford,2015,2,4,34,LAL
Willy Hernangomez,Philadelphia 76Ers,CB Sevilla (Spain),2015,2,5,35,PHI
Rakeem Christmas,Minnesota Timberwolves,Syracuse,2015,2,6,36,MIN
Richaun Holmes,Philadelphia 76Ers,Bowling Green,2015,2,7,37,PHI
Darrun Hilliard,Detroit Pistons,Villanova,2015,2,8,38,DET
Juan Pablo Vaulet,Charlotte Hornets,Bahia Basket (Argentina),2015,2,9,39,CHA
Josh Richardson,Miami Heat,Tennessee,2015,2,10,40,MIA
Pat Connaughton,Brooklyn Nets,Notre Dame,2015,2,11,41,BKN
Olivier Hanlan,Utah Jazz,Boston College,2015,2,12,42,UTA
Joe Young,Indiana Pacers,Oregon,2015,2,13,43,IND
Andrew Harrison,Phoenix Suns,Kentucky,2015,2,14,44,PHX
Marcus Thornton,Boston Celtics,William & Mary,2015,2,15,45,BOS
Norman Powell,Milwaukee Bucks,California-Los Angeles,2015,2,16,46,MIL
Arturas Gudaitis,Philadelphia 76Ers,BC Zalgiris (Lithuania),2015,2,17,47,PHI
Dakari Johnson,Oklahoma City Thunder,Kentucky,2015,2,18,48,OKC
Aaron White,Washington Wizards,Iowa,2015,2,19,49,WAS
Marcus Eriksson,Atlanta Hawks,FC Barcelona Basquet (Spain),2015,2,20,50,ATL
Tyler Harvey,Orlando Magic,Eastern Washington,2015,2,21,51,ORL
Satnam Singh,Dallas Mavericks,IMG Academy,2015,2,22,52,DAL
Sir'Dominic Pointer,Cleveland Cavaliers,St. John's (NY),2015,2,23,53,CLE
Daniel Diez,Utah Jazz,San Sebastian Gipuzkoa BC (Spain),2015,2,24,54,UTA
Cady Lalanne,San Antonio Spurs,Massachusetts,2015,2,25,55,SAS
